x, y, z
0.101071,0.852542,0.794607
0.9197,0.813028,0.19459
0.444374,0.654311,0.598652
0.0751537,0.836445,0.168717
0.92993,0.74066,0.928338
0.864465,0.12353,0.99675
0.556584,0.512971,0.0316322
0.389957,0.228105,0.918812
0.577731,0.708279,0.954098
0.38359,0.0772424,0.029878
0.586822,0.178313,0.88242
0.381429,0.0980129,0.695447
0.576019,0.542387,0.349758
0.174671,0.617541,0.186202
0.343388,0.547471,0.926862
0.271726,0.411936,0.050392
0.268476,0.96852,0.563363
0.300109,0.358477,0.791468
0.218921,0.936209,0.499747
0.173019,0.319799,0.57699
0.202897,0.906621,0.755303
0.0853167,0.28805,0.853316
0.780764,0.864069,0.395703
0.130522,0.0387406,0.0132439
0.316724,0.382129,0.560715
0.243586,0.653855,0.972651
0.293978,0.922332,0.941171
0.857341,0.22244,0.299649
0.648809,0.441361,0.235858
0.148556,0.61438,0.555657
0.725545,0.817278,0.462278
0.480848,0.902594,0.750329
0.334164,0.683358,0.614398
0.729866,0.81388,0.653139
0.74311,0.130603,0.0352677
0.303825,0.37419,0.689123
0.276476,0.668168,0.611455
0.217648,0.525509,0.833895
0.517297,0.174317,0.275256
0.753154,0.322873,0.889637
0.308811,0.0484184,0.706914
0.77109,0.529266,0.609509
0.521418,0.86343,0.292867
0.135816,0.593296,0.106746
0.788955,0.336407,0.23735
0.824223,0.640232,0.611539
0.513346,0.916708,0.279707
0.124801,0.134356,0.805216
0.958696,0.651652,0.979533
0.233952,0.404807,0.302406
0.123589,0.713618,0.350824
0.830503,0.484708,0.880091
0.440011,0.00612627,0.743521
0.732878,0.141943,0.336817
0.839624,0.930898,0.673224
0.0769742,0.755121,0.313456
0.688513,0.268466,0.230164
0.96822,0.393267,0.36452
0.773436,0.351963,0.0161724
0.752969,0.585914,0.420979
0.0553746,0.709503,0.134597
0.406199,0.540006,0.619305
0.286289,0.980017,0.625431
0.0298102,0.712895,0.767374
0.366627,0.55252,0.698272
0.0398513,0.629494,0.453392
0.353307,0.318008,0.721859
0.583472,0.286228,0.115126
0.947992,0.0596641,0.467088
0.964164,0.812633,0.0530029
0.385143,0.868007,0.762506
0.51974,0.274206,0.302512
0.139045,0.560496,0.282529
0.764477,0.590306,0.995425
0.531851,0.956933,0.547945
0.230122,0.996785,0.177439
0.683515,0.350092,0.495446
0.405373,0.933564,0.781674
0.520499,0.881555,0.841338
0.987587,0.845719,0.653971
0.0405903,0.230862,0.521979
0.803096,0.750603,0.796185
0.105608,0.889648,0.356681
0.388137,0.654125,0.946987
0.383562,0.185975,0.90392
0.931507,0.416098,0.900705
0.108945,0.0996122,0.250797
0.604391,0.504986,0.18436
0.386066,0.0254847,0.0659152
0.227404,0.0130722,0.911634
0.881375,0.0536625,0.142497
0.403354,0.856759,0.8931
0.199539,0.962367,0.782748
0.55622,0.350504,0.436872
0.503206,0.734066,0.622848
0.407126,0.665573,0.0389451
0.307831,0.774518,0.138557
0.558627,0.37891,0.643543
0.742987,0.764975,0.669028
0.808902,0.992379,0.6821
0.720537,0.873755,0.735762
0.863034,0.277108,0.592521
0.756133,0.476647,0.554888
0.538881,0.0328669,0.905392
0.975753,0.536073,0.639458
0.598601,0.943199,0.305031
0.637546,0.25103,0.0795491
0.776103,0.809657,0.458459
0.419646,0.552644,0.223434
0.0886735,0.361547,0.215813
0.770773,0.0820839,0.0895679
0.506535,0.945118,0.366676
0.0990563,0.701251,0.843324
0.653944,0.240132,0.876191
0.559336,0.215885,0.412264
0.198794,0.814486,0.355463
0.503825,0.452032,0.606493
0.583374,0.228135,0.41615
0.0418332,0.647781,0.968795
0.265267,0.736455,0.330342
0.481081,0.507228,0.412426
0.570649,0.0137631,0.357543
0.937325,0.112819,0.0587943
0.780649,0.766763,0.298926
0.656839,0.326099,0.514811
0.0691031,0.524894,0.329297
0.424566,0.0287191,0.781329
0.0310594,0.612094,0.0094644
0.44721,0.653927,0.657245
0.416005,0.919194,0.3937
0.746347,0.400275,0.900928
0.158772,0.970923,0.914691
0.516316,0.908248,0.0275104
0.57511,0.688897,0.794274
0.874036,0.345736,0.120373
0.388847,0.414839,0.645267
0.718145,0.839405,0.673986
0.499474,0.870465,0.28608
0.508939,0.317675,0.940006
0.166184,0.733679,0.8592
0.559884,0.480026,0.259475
0.460812,0.638798,0.230398
0.375503,0.155114,0.138646
0.403013,0.730223,0.827543
0.197287,0.60426,0.173279
0.317661,0.993107,0.588118
0.962928,0.711252,0.427523
0.636914,0.210726,0.297988
0.922994,0.719665,0.615663
0.863,0.885849,0.349342
0.7222,0.445733,0.829368
0.981675,0.906545,0.468166
0.212073,0.282048,0.62328
0.350719,0.685061,0.353503
0.178262,0.882349,0.957763
0.351541,0.200009,0.95087
0.939658,0.162937,0.662121
0.367182,0.799851,0.872847
0.66517,0.722844,0.592512
0.280832,0.585844,0.478361
0.630174,0.308045,0.924094
0.459542,0.28972,0.830639
0.927708,0.501793,0.112687
0.550987,0.852513,0.797748
0.90449,0.0307747,0.680097
0.862253,0.382315,0.880107
0.813122,0.321974,0.0430435
0.475244,0.689156,0.842894
0.348091,0.354325,0.565739
0.940603,0.635157,0.151583
0.418964,0.265332,0.459627
0.343058,0.724873,0.749347
0.173697,0.652581,0.251141
0.286384,0.203569,0.103653
0.0841329,0.108059,0.134428
0.76423,0.970312,0.516744
0.644337,0.783434,0.838717
0.68738,0.258678,0.527873
0.530274,0.60677,0.882198
0.0960131,0.547373,0.517355
0.247596,0.966337,0.782687
0.707223,0.309396,0.50756
0.456571,0.483093,0.160142
0.707712,0.769478,0.363711
0.811365,0.853611,0.47177
0.945793,0.617841,0.442082
0.462537,0.262177,0.225516
0.301254,0.949557,0.484194
0.829127,0.479832,0.0909639
0.711325,0.575845,0.638337
0.228681,0.823441,0.604674
0.0113678,0.530664,0.91407
0.518928,0.987235,0.397163
0.67907,0.694947,0.166641
0.0427807,0.506312,0.0202516
0.51455,0.452105,0.638092
0.956632,0.914642,0.90027
0.182148,0.215896,0.849827
0.666343,0.0450235,0.329659
0.757307,0.756349,0.905504
0.395644,0.98503,0.728945
0.0003179,0.996398,0.259609
0.914388,0.515326,0.246845
0.311552,0.194396,0.941792
0.478193,0.237177,0.448104
0.498444,0.751727,0.900209
0.136537,0.708359,0.814851
0.0368061,0.890507,0.0307471
0.886633,0.55685,0.0757707
0.216292,0.314157,0.83212
0.121796,0.7098,0.817149
0.850741,0.710118,0.813547
0.110351,0.624506,0.328873
0.357195,0.936058,0.523269
0.298987,0.414251,0.760445
0.747091,0.912695,0.512172
